"","Date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75"
"11","20020225",0.0064274063333869,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000104489226941951,1.04773971543182e-05,1.28094807223533e-05,1.33940220621298e-05,1.24827911349712e-05,1.1335154340486e-05,1.04366117739119e-05,1.00186398412916e-05,1.13919040813926e-05,1.65660530910827e-05,1.7563130313647e-05,3.69193257938605e-05,4.49433282483369e-05,4.26897895522416e-05,3.58032921212725e-05,2.8897058655275e-05,2.47223706537625e-05,2.26074862439418e-05,2.15761119761737e-05,2.13767580135027e-05,2.36360374401556e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","20020230",0.0138734932988882,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000159569346578792,1.0708767149481e-05,1.24951739053358e-05,1.33692255985807e-05,1.24146699818084e-05,1.12678308141767e-05,1.04225755421794e-05,1.00182978712837e-05,1.13915857582469e-05,1.77409965544939e-05,1.87442892638501e-05,3.52777897205669e-05,4.51843843620736e-05,4.36679365520831e-05,3.68713481293526e-05,2.98137256322661e-05,2.53520574915456e-05,2.2910729967407e-05,2.15230502362829e-05,2.09528425330063e-05,2.40387398662278e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","20020305",0.038378220051527,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000191998813534155,1.21674265756155e-05,1.33476478367811e-05,1.23389609143487e-05,1.11916424430092e-05,1.03899710666155e-05,1.00178986031096e-05,1.13915639303741e-05,1.90796508832136e-05,1.95082757272758e-05,3.37987330567557e-05,4.55269182566553e-05,4.46571393695194e-05,3.7857211282244e-05,3.04909808619414e-05,2.57701103691943e-05,2.30690002354095e-05,2.14742958632996e-05,2.08289602596778e-05,2.42890164372511e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","20020310",0.0173259414732456,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,2.98528993880609e-05,1.37733377414406e-05,1.22477604236337e-05,1.11189037852455e-05,1.03331749414792e-05,1.00179331639083e-05,1.14255890366621e-05,1.99371897906531e-05,1.99343012354802e-05,3.42359671776649e-05,4.61134914075956e-05,4.52651256637182e-05,3.82795697078109e-05,3.07089867419563e-05,2.58151267189533e-05,2.30180266953539e-05,2.14794854400679e-05,2.0865692931693e-05,2.45653991441941e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","20020315",0.0270519368350506,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,7.0772432081867e-05,1.37812812681659e-05,1.21092634799425e-05,1.09983657239354e-05,1.02394305940834e-05,1.03272577689495e-05,1.15881684905617e-05,2.13565581361763e-05,2.06241056730505e-05,3.51573289663065e-05,4.65787379653193e-05,4.55099543614779e-05,3.84881277568638e-05,3.09506904159207e-05,2.59379667113535e-05,2.30152545555029e-05,2.1459427443915e-05,2.10123107535765e-05,2.45527880906593e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","20020320",0.0081115011125803,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.00315191363915801,0.00266416417434812,0.00310930330306292,0.00409115105867386,0.00538457883521914,0.00699743395671248,0.00913058314472437,0.0112343803048134,0.0137400440871716,0.0161621887236834,0.0179333351552486,0.0157467275857925,0.011550385504961,0.00709564564749599,0.15,5.73597717448138e-05,1.27332868942176e-05,1.19675651149009e-05,1.08761578303529e-05,1.01658906714874e-05,1.13815449367394e-05,1.16877381515224e-05,2.3359440092463e-05,2.16107964661205e-05,3.31710216414649e-05,4.60701994597912e-05,4.5762844820274e-05,3.91477115044836e-05,3.15518227580469e-05,2.63430465565762e-05,2.32968577620341e-05,2.16964472201653e-05,2.11006918107159e-05,2.41591296799015e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","20020325",0.0126483105123043,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.00148413132410496,4.85041164210998e-05,1.2052931197104e-05,1.18895904961391e-05,1.08237954918877e-05,1.01340237961267e-05,1.13815676741069e-05,1.17716490422026e-05,2.40558238147059e-05,2.2143722162582e-05,3.20933104376309e-05,4.56382804259192e-05,4.574147897074e-05,3.92602123611141e-05,3.16060177283362e-05,2.63720648945309e-05,2.34565468417713e-05,2.20397905650316e-05,2.12645791179966e-05,2.35937986872159e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","20020330",0.0451653264462948,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.00023027349379845,1.17460785986623e-05,1.18401012514369e-05,1.07858577393927e-05,1.01104960776865e-05,1.13818487079698e-05,1.18907064461382e-05,2.42943588091293e-05,2.24689629249042e-05,3.20981089316774e-05,4.55320841865614e-05,4.56069064966869e-05,3.91133471566718e-05,3.14863646053709e-05,2.6230321964249e-05,2.35212828556541e-05,2.24450504902052e-05,2.15430827665841e-05,2.29511242650915e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","20020405",0.0099871912971139,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.000246215437073261,1.11581166493124e-05,1.18262660180335e-05,1.07401228888193e-05,1.00854658739991e-05,1.13821852210094e-05,1.2059354048688e-05,2.44919338001637e-05,2.24478062591515e-05,3.28504938806873e-05,4.56352645414881e-05,4.52989479526877e-05,3.87280451832339e-05,3.11706171487458e-05,2.60430497291964e-05,2.35522766161012e-05,2.27319342229748e-05,2.18364475585986e-05,2.25526946451282e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","20020410",0.00593636929988861,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.09041402538423e-05,1.19670321510057e-05,1.07040195871377e-05,1.00676797956112e-05,1.13824789877981e-05,1.2205003258714e-05,2.45072551479097e-05,2.15756190300453e-05,3.32973759213928e-05,4.55859626526944e-05,4.49138606199995e-05,3.83372425858397e-05,3.08543858409394e-05,2.58977779594716e-05,2.3631824660697e-05,2.30617988563608e-05,2.21207628783304e-05,2.2113490558695e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
