"","nc_SWF"
"264",45.219596862793
"265",44.0572509765625
"266",56.0697975158691
"267",51.4432983398438
"268",55.3820571899414
"269",39.5147018432617
"270",25.298189163208
"271",53.3345718383789
"272",38.7879028320312
"273",69.3757400512695
"274",85.2986373901367
"275",95.3948593139648
"276",57.9420547485352
"277",76.0541534423828
"278",27.4169750213623
"279",109.77547454834
"280",75.2810821533203
"281",85.9463806152344
"282",135.342224121094
"283",77.8324661254883
"284",105.428108215332
"285",92.5993347167969
"286",44.5816879272461
"287",79.2394332885742
"288",146.924011230469
"289",129.938751220703
"290",172.920593261719
"291",177.57975769043
"292",183.1123046875
"293",132.582168579102
"294",192.739456176758
"295",101.835014343262
"296",133.706878662109
"297",137.283477783203
"298",128.314788818359
"299",222.611450195312
"300",256.430847167969
"301",219.267562866211
"302",114.260551452637
"303",263.746429443359
"304",280.618621826172
"305",275.604431152344
"306",293.857360839844
"307",239.945648193359
"308",301.518524169922
"309",282.275390625
"310",213.866546630859
"311",248.910079956055
"312",330.055603027344
"313",338.403961181641
"314",346.562194824219
"315",357.590087890625
"316",363.495910644531
"317",369.590209960938
"318",359.047943115234
"319",240.887969970703
"320",341.703094482422
"321",384.722137451172
"322",389.736755371094
"323",402.276123046875
"324",392.172027587891
"325",359.978240966797
"326",354.305084228516
"327",352.988250732422
"328",357.954711914062
"329",412.927459716797
"330",412.543914794922
"331",419.559906005859
"332",421.869262695312
"333",388.946716308594
"334",380.288208007812
"335",430.109985351562
"336",434.505218505859
"337",435.662567138672
"338",381.533111572266
"339",433.588409423828
"340",443.536956787109
"341",339.877532958984
"342",415.52587890625
"343",287.436462402344
"344",354.375152587891
"345",439.097106933594
"346",448.039123535156
"347",450.562774658203
"348",242.912750244141
"349",302.778076171875
"350",414.310516357422
"351",454.479919433594
"352",448.080535888672
"353",452.084564208984
"354",434.593933105469
"355",418.908142089844
"356",371.361755371094
"357",434.3896484375
"358",435.348571777344
"359",437.136138916016
"360",453.292144775391
